System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
11:54:48:951525845,1200000|1200000|1400000|1700000,20.0366,4.0867,4.6932,52000,
11:54:49:453098708,1200000|1200000|1900000|1700000,20.0341,4.0711,4.6560,52000,
11:54:49:954585649,1900000|1900000|1300000|1600000,20.1770,4.1772,4.6686,52000,
11:54:50:455660831,1200000|1200000|1500000|1300000,20.8156,4.8690,4.7432,52000,
11:54:50:957308650,1200000|1300000|1800000|1300000,19.9105,3.9094,4.6532,53000,
11:54:51:458438714,1200000|1200000|1200000|1800000,18.9459,3.0200,4.6785,53000,
11:54:51:960014495,1200000|1200000|1200000|1500000,20.0906,4.0733,4.7461,52000,
11:54:52:461581153,1200000|1200000|1200000|1500000,19.9499,3.9822,4.7308,52000,
11:54:52:963139636,1200000|1200000|1200000|1500000,20.1840,4.2254,4.6476,52000,
11:54:53:464712034,1200000|1200000|1200000|1200000,20.1582,4.1974,4.6719,51000,
11:54:53:966253109,1700000|1200000|1800000|1200000,20.4209,4.4200,4.6795,51000,
11:54:54:467375403,1200000|1400000|1400000|1300000,20.2824,4.3351,4.6675,53000,
11:54:54:969022146,1200000|1200000|1200000|1200000,20.0439,4.0292,4.6926,52000,
11:54:55:470535039,1200000|1300000|1200000|1800000,20.1460,4.1813,4.6602,51000,
11:54:55:972096773,1200000|1700000|1800000|1200000,20.3136,4.3482,4.7041,52000,
11:54:56:473676799,1400000|1700000|1700000|1400000,21.4437,5.4927,4.6608,53000,
11:54:56:974797415,1200000|1600000|1800000|1500000,21.2625,5.2511,4.6646,52000,
11:54:57:476375808,1200000|1700000|1200000|1400000,20.2546,4.2975,4.7000,53000,
11:54:57:977973100,1800000|1200000|1800000|1600000,21.0832,5.0766,4.6549,53000,
11:54:58:479075142,1200000|1300000|1200000|1200000,20.9499,5.0008,4.6839,52000,
11:54:58:980654210,1200000|1200000|1200000|1200000,20.4739,4.4708,4.7027,53000,
11:54:59:482207410,1700000|1500000|1200000|1300000,21.3214,5.3417,4.6918,53000,
11:54:59:983353286,1200000|1200000|1200000|1800000,20.4210,4.4451,4.6383,52000,
11:55:00:485416825,1200000|1200000|1500000|1600000,21.0432,5.1117,4.7247,52000,
11:55:00:986730986,1200000|1200000|1400000|1200000,20.5165,4.5189,4.6702,53000,
11:55:01:488302311,1700000|1400000|1400000|1400000,21.1643,5.2049,4.7002,52000,
11:55:01:989408595,1200000|1200000|1900000|1200000,20.4804,4.4891,4.6775,52000,
11:55:02:490926147,1200000|1200000|1200000|1300000,22.4214,6.4480,4.6897,51000,
11:55:02:992521848,1300000|1800000|1200000|1700000,22.4205,6.4182,4.6649,52000,
11:55:03:493605271,1700000|1700000|1700000|1900000,20.8910,4.9426,4.7033,52000,
11:55:03:994661415,1200000|1200000|1400000|1500000,21.3159,5.3269,4.6946,51000,
11:55:04:496162447,1200000|1200000|1500000|1400000,21.9438,5.9704,4.6775,53000,
11:55:04:997828221,1200000|1200000|1200000|1200000,20.0537,4.1007,4.6755,52000,
11:55:05:499340620,1200000|1200000|1200000|1200000,22.1015,6.1192,4.6908,52000,
11:55:06:   899751,1500000|1300000|1500000|1800000,22.3514,6.3478,4.6309,52000,
11:55:06:502322338,1700000|1600000|1200000|1200000,22.0452,6.0707,4.6580,53000,
11:55:07:  3420516,1200000|2100000|1200000|1200000,21.6429,5.6625,4.6711,53000,
11:55:07:504949180,1600000|1700000|1400000|1900000,21.9886,6.0177,4.6745,52000,
11:55:08:  6156770,1200000|1200000|1500000|1500000,20.3817,4.4129,4.6451,52000,
11:55:08:507467966,1200000|1200000|1200000|1200000,20.2568,4.2890,4.6687,52000,
11:55:09:  8971749,1200000|1200000|1200000|1900000,22.0315,6.0589,4.6957,51000,
11:55:09:510534324,1800000|1500000|1200000|1200000,20.2822,4.3099,4.6157,52000,
11:55:10: 11579189,1200000|1500000|1300000|1500000,22.0480,6.0997,4.6756,52000,
11:55:10:513271155,1200000|1200000|1200000|1200000,20.3489,4.3516,4.6749,51000,
11:55:11: 14795323,1200000|1200000|2100000|1200000,22.0411,6.0712,4.7114,51000,
11:55:11:516309603,1500000|1200000|1200000|1600000,20.6795,4.7246,4.6848,52000,
11:55:12: 17607734,2000000|1700000|2100000|1600000,21.7254,5.7452,4.6673,54000,
11:55:12:518602763,1200000|1200000|1900000|1200000,21.4337,5.4649,4.6766,52000,
11:55:13: 20118481,1400000|1900000|1700000|1800000,21.1867,5.1785,4.6700,51000,
11:55:13:521252791,1200000|1200000|1200000|1400000,20.8031,4.8584,4.7162,52000,
11:55:14: 22807941,1200000|1200000|1200000|1200000,20.3476,4.3800,4.6683,51000,
11:55:14:524337716,1800000|1600000|2100000|1800000,21.1074,5.1026,4.7029,53000,
11:55:15: 25382457,1200000|1200000|1200000|1700000,20.9996,5.0547,4.7138,51000,
11:55:15:526951660,1200000|1200000|1200000|1200000,20.2808,4.2647,4.6559,52000,
11:55:16: 28522819,1800000|1400000|1600000|1600000,21.7448,5.7633,4.6390,52000,
11:55:16:529670807,1700000|1200000|1600000|1200000,20.6004,4.6392,4.6963,53000,
11:55:17: 30821906,1200000|1200000|1200000|1200000,20.1501,4.1562,4.7024,52000,
11:55:17:532336519,1300000|1200000|1200000|1300000,20.8884,4.8700,4.7148,53000,
11:55:18: 33777438,1500000|1200000|1200000|1200000,20.4760,4.4997,4.6735,53000,
11:55:18:535029136,1500000|1600000|1300000|1200000,21.1685,5.2435,4.6858,53000,
11:55:19: 36294576,1300000|1700000|1200000|1600000,21.5459,5.5570,4.6724,53000,
11:55:19:537484175,1200000|1200000|1700000|1200000,21.8184,5.8083,4.7040,52000,
11:55:20: 38652089,1400000|1300000|1300000|1200000,21.5047,5.5135,4.7510,52000,
11:55:20:539989626,1900000|1200000|1200000|1500000,21.1414,5.1490,4.6859,53000,
11:55:21: 41026850,1200000|1200000|1200000|1200000,21.2199,5.2247,4.6992,53000,
11:55:21:542538840,1200000|1200000|1200000|1300000,22.2371,6.2477,4.7054,52000,
11:55:22: 44109853,1200000|1200000|1200000|1500000,21.9079,5.9344,4.6723,53000,
11:55:22:545737820,1500000|1300000|1200000|1300000,21.4661,5.4912,4.6642,52000,
11:55:23: 47552055,1200000|1300000|1700000|1700000,20.6318,4.6230,4.6114,53000,
