System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
11:59:00:223196467,2200000|1900000|2000000|2000000,37.3409,20.5532,6.1401,54000,
11:59:00:725543913,2200000|2100000|1900000|2100000,36.9171,20.1068,6.2440,54000,
11:59:01:228156225,2200000|2200000|2100000|2100000,37.0191,20.2264,6.2261,55000,
11:59:01:730369834,2200000|2100000|2200000|2000000,37.4369,20.6399,6.2621,55000,
11:59:02:233712687,2100000|2200000|2200000|2100000,37.4640,20.6920,6.0947,55000,
11:59:02:735018021,2200000|2200000|2200000|1900000,37.2998,20.5255,6.0356,53000,
11:59:03:239810258,2200000|2000000|2200000|2000000,37.4713,20.7094,6.1816,53000,
11:59:03:741594873,1900000|1900000|1700000|1900000,37.0219,20.1588,6.1869,53000,
11:59:04:243115850,1700000|1900000|2000000|2100000,36.6958,19.8600,6.2527,54000,
11:59:04:744363256,2200000|2200000|2200000|1900000,36.7317,19.8258,6.5963,53000,
11:59:05:246541442,1700000|2000000|2200000|2100000,37.2129,20.3365,6.3985,54000,
11:59:05:747847305,2100000|2000000|2000000|2200000,37.1522,20.2634,6.4903,54000,
11:59:06:249241358,1800000|2100000|2200000|2100000,36.6590,19.6748,6.7993,54000,
11:59:06:751111433,2200000|2000000|2000000|1800000,36.4647,19.6320,6.5468,55000,
11:59:07:252823038,1700000|2100000|2200000|2100000,37.2775,20.4107,6.1574,53000,
11:59:07:754412654,2200000|2200000|2100000|2100000,37.2958,20.5330,6.0652,54000,
11:59:08:256889967,2200000|2200000|2200000|2200000,37.1454,20.3759,6.0721,54000,
11:59:08:758141832,2100000|2000000|2100000|2200000,36.8892,20.1207,6.0562,55000,
11:59:09:259381226,2200000|2100000|2100000|2200000,37.2414,20.3680,6.3036,54000,
11:59:09:764174625,2100000|2200000|2100000|2100000,37.2197,20.4100,6.3754,55000,
11:59:10:265623423,2200000|2000000|2000000|1900000,37.1950,20.2969,6.6761,55000,
11:59:10:767721608,2100000|2100000|1900000|2200000,37.1316,20.1655,6.5607,54000,
11:59:11:272370367,1800000|2000000|1900000|2200000,36.8823,20.0833,6.3991,55000,
11:59:11:773772453,2200000|2200000|2200000|2200000,37.4769,20.7053,6.1486,55000,
11:59:12:275978061,1900000|2000000|1900000|2200000,37.4999,20.7143,6.1295,55000,
11:59:12:777245704,2200000|2100000|2100000|2200000,37.8053,20.9694,6.2134,55000,
11:59:13:278591151,2200000|2100000|2200000|2200000,37.2618,20.5345,6.0811,55000,
11:59:13:779725007,2100000|2100000|2200000|2000000,37.2949,20.4684,6.1579,55000,
11:59:14:280949047,1900000|1800000|2200000|2000000,36.8758,20.0699,6.1183,55000,
11:59:14:783487172,2200000|2100000|1800000|2000000,36.9404,20.1079,6.2452,56000,
11:59:15:284926617,2200000|1900000|2200000|1900000,36.4230,19.6431,6.1923,55000,
11:59:15:786685813,2100000|2200000|2200000|2200000,36.5671,19.7087,6.1357,55000,
11:59:16:287845276,2200000|2100000|2100000|2100000,37.5253,20.6990,6.3086,55000,
11:59:16:789073696,2200000|2200000|2100000|2000000,37.5059,20.7460,6.2729,55000,
11:59:17:290311595,2000000|2200000|2200000|1700000,37.0376,20.1980,6.2488,56000,
11:59:17:792251305,2200000|2200000|2200000|1800000,37.4402,20.5488,6.2471,55000,
11:59:18:293453054,2100000|2100000|1900000|2200000,36.9612,20.0796,6.2926,56000,
11:59:18:797027709,1700000|2200000|2100000|2100000,36.9866,20.2145,6.1219,56000,
11:59:19:298273996,2100000|2200000|2200000|2200000,36.6917,19.8465,6.3453,55000,
11:59:19:799441703,2100000|1900000|2200000|2100000,37.5925,20.5912,6.6234,55000,
11:59:20:303512914,2200000|2200000|2000000|2200000,36.7795,20.1283,6.0918,55000,
11:59:20:805125524,2200000|1900000|2100000|2200000,37.5000,20.6867,6.0238,55000,
11:59:21:306461806,1700000|1900000|2200000|1900000,37.1390,20.3405,6.2017,55000,
11:59:21:809567953,1900000|2200000|1500000|2200000,36.9995,20.1798,6.1198,56000,
11:59:22:311305566,1600000|2100000|1900000|2000000,36.5088,19.6158,6.4825,56000,
11:59:22:815462966,1900000|1800000|2100000|2000000,36.6512,19.7559,6.4485,55000,
11:59:23:319392821,1900000|2200000|2100000|2100000,36.5067,19.6737,6.4355,55000,
11:59:23:820773906,2200000|2200000|2200000|1800000,36.2379,19.2987,6.4916,55000,
11:59:24:322681542,2100000|1800000|2100000|2000000,36.2637,19.4112,6.2671,55000,
11:59:24:823886998,2100000|2000000|1300000|2200000,36.3957,19.5565,6.3100,54000,
11:59:25:326877103,2100000|1900000|2200000|2200000,36.9270,20.1766,6.5255,55000,
11:59:25:830087309,2100000|1600000|2000000|2100000,36.2984,19.2388,6.7125,55000,
11:59:26:332151073,2200000|2100000|2000000|2200000,36.2869,19.3524,6.4590,56000,
11:59:26:835491246,1800000|2200000|1700000|1700000,36.4824,19.6740,6.1759,57000,
11:59:27:336658595,2200000|2100000|2200000|2200000,37.4050,20.5173,6.3978,57000,
11:59:27:838586272,1800000|2100000|2200000|1900000,36.6658,19.8742,6.2988,56000,
11:59:28:339905319,2100000|1900000|2200000|2200000,36.5753,19.6523,6.5600,56000,
11:59:28:841370995,2000000|1700000|1700000|2100000,36.8742,19.9117,6.6632,57000,
11:59:29:342994745,2000000|2100000|1800000|2200000,37.2939,20.3443,6.3967,57000,
11:59:29:846258573,1700000|1700000|1900000|2000000,36.7440,19.8540,6.3947,55000,
11:59:30:349923230,2100000|1900000|2000000|1800000,36.5114,19.5505,6.7297,56000,
11:59:30:852981515,2100000|2200000|2100000|2000000,36.3068,19.2587,6.9759,56000,
11:59:31:356144437,2100000|2100000|2100000|1900000,35.9162,18.8757,6.7248,57000,
11:59:31:860336491,1800000|2200000|1800000|2000000,36.3389,19.5129,6.5081,56000,
11:59:32:363452312,1400000|1700000|1900000|2100000,36.8853,20.0193,6.1214,57000,
11:59:32:868104199,2100000|2000000|2200000|2000000,36.9268,20.1174,6.2985,55000,
11:59:33:369624706,2100000|2100000|2000000|1900000,37.2306,20.2537,6.5168,57000,
11:59:33:870807947,2000000|2000000|2100000|2200000,37.2189,20.4063,6.0910,57000,
11:59:34:372639903,2200000|2200000|2200000|2200000,37.2028,20.3914,6.1815,57000,
11:59:34:874069242,2200000|2200000|2100000|2200000,37.7229,20.9060,6.1654,56000,
11:59:35:377984410,2200000|2200000|2200000|2000000,37.7156,20.9300,5.9808,57000,
11:59:35:879357490,2200000|2200000|2200000|2200000,37.2083,20.4241,6.1043,56000,
11:59:36:380514875,2100000|2200000|1900000|1900000,37.7040,20.8684,6.1890,56000,
11:59:36:882287128,2000000|1500000|1800000|2100000,37.1744,20.2835,6.4375,56000,
11:59:37:387737720,2200000|2200000|2100000|2100000,36.6115,19.7458,6.2790,57000,
11:59:37:889311615,2200000|2200000|2100000|1900000,37.0378,20.1525,6.3140,56000,
11:59:38:392153169,2100000|1700000|1800000|2100000,37.0751,20.2553,6.3176,57000,
11:59:38:893344783,2200000|1800000|1800000|2000000,36.7360,19.8297,6.3909,57000,
11:59:39:394493979,2100000|2100000|1900000|1800000,36.3666,19.3919,6.7136,57000,
11:59:39:897017667,2100000|2100000|2200000|2000000,36.7569,19.8347,6.5516,57000,
11:59:40:398792983,1800000|2100000|2200000|1900000,36.4736,19.7075,6.1499,56000,
11:59:40:899948281,1600000|2100000|2100000|2100000,36.8230,19.9279,6.1905,57000,
11:59:41:401692899,1800000|1800000|2000000|2000000,37.2364,20.3144,6.4522,56000,
11:59:41:902963809,1800000|2200000|2100000|2100000,36.4511,19.6465,6.3917,56000,
11:59:42:404169103,2100000|2200000|2000000|2100000,37.0566,20.1328,6.5094,57000,
11:59:42:907479248,2000000|2100000|2000000|2200000,37.4273,20.6673,6.0437,57000,
11:59:43:408628089,2200000|2200000|2200000|2100000,37.6242,20.8362,5.9612,57000,
11:59:43:910987924,2200000|2200000|2200000|1900000,37.2393,20.5724,5.8936,57000,
11:59:44:412381820,2200000|2000000|2000000|2100000,37.3411,20.5152,6.2610,58000,
11:59:44:914053329,2200000|2000000|1900000|1900000,37.0999,20.1503,6.4660,57000,
11:59:45:415816488,1600000|2000000|2200000|2200000,36.6692,19.7783,6.4721,58000,
11:59:45:917130057,2200000|2100000|2100000|1300000,37.1449,20.6034,6.1685,58000,
11:59:46:427539805,2000000|2200000|1800000|2200000,36.6385,19.5110,6.2911,57000,
