System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
15:13:47:623205573,1600000|1200000|1200000|1400000,21.7906,5.6757,5.0511,49000,
15:13:47:957553730,1200000|1200000|1200000|2200000,18.8966,2.8896,4.6453,50000,
15:13:48:292033468,1200000|1200000|1200000|1200000,19.6844,3.7410,4.6853,49000,
15:13:48:626608748,1200000|1200000|1900000|1800000,21.7466,5.7236,4.7341,50000,
15:13:48:961244937,1200000|1200000|1900000|1800000,18.6799,2.6938,4.7045,49000,
15:13:49:295491073,1200000|1200000|1200000|1200000,18.8062,2.8447,4.6584,49000,
15:13:49:630085498,1200000|1200000|1200000|1200000,18.5395,2.5563,4.6833,50000,
15:13:49:964626634,1200000|1200000|1200000|1300000,21.3782,5.4302,4.7170,50000,
15:13:50:299094195,1200000|1400000|1400000|1300000,21.7584,5.5557,5.0029,50000,
15:13:50:633700832,1200000|1200000|1200000|1300000,18.6137,2.6242,4.6523,49000,
15:13:50:968323997,1200000|1200000|1200000|1300000,18.5761,2.6550,4.6382,49000,
15:13:51:302901733,1200000|1900000|2000000|1200000,21.4304,5.4127,4.7663,49000,
15:13:51:637477719,1200000|1200000|1200000|1200000,18.7713,2.7870,4.6504,49000,
15:13:51:971992151,1200000|1200000|1200000|1200000,18.5084,2.5817,4.6521,49000,
15:13:52:306486823,1200000|1200000|1200000|1200000,18.8718,2.8755,4.6417,49000,
15:13:52:641089385,1200000|1200000|1200000|1200000,18.4910,2.5694,4.6417,49000,
15:13:52:975589911,1300000|1800000|1600000|1300000,24.4147,8.2478,5.1193,51000,
15:13:53:309746252,1200000|1200000|1200000|1200000,19.7140,3.6944,4.7160,51000,
15:13:53:644296124,1200000|1200000|1200000|1200000,18.8350,2.8471,4.6409,48000,
15:13:53:978827256,1200000|1200000|1200000|1200000,18.8394,2.8612,4.7086,49000,
15:13:54:313412954,1600000|1700000|1200000|2100000,19.2264,3.2703,4.6181,50000,
15:13:54:647429679,1200000|1200000|1200000|1200000,20.9294,4.9563,4.7534,49000,
15:13:54:982019461,1200000|1200000|1200000|1200000,18.6202,2.6327,4.6763,49000,
15:13:55:316529893,1200000|1200000|1200000|1200000,18.7273,2.7959,4.6291,49000,
15:13:55:651067298,1200000|1200000|1200000|1200000,18.6590,2.6766,4.6813,49000,
15:13:55:986244807,1200000|1200000|1200000|1300000,21.8783,5.7308,5.0104,50000,
15:13:56:320802609,1200000|1800000|1200000|1900000,21.7453,5.7293,4.6863,48000,
15:13:56:655362088,1200000|1200000|1200000|1200000,18.6736,2.6867,4.5766,49000,
15:13:56:989922693,1200000|1200000|1200000|1200000,18.5330,2.6098,4.6375,49000,
15:13:57:324458005,1200000|1200000|1200000|1200000,18.7626,2.7699,4.6607,50000,
15:13:57:659002534,1200000|1200000|1200000|1200000,18.5675,2.5875,4.6007,50000,
15:13:57:993539799,1600000|1200000|1500000|1800000,21.1555,5.2060,4.6881,49000,
15:13:58:327810812,1200000|1200000|1200000|1800000,19.2703,3.2542,4.6826,49000,
15:13:58:662356490,1200000|1200000|1200000|1200000,18.5997,2.6751,4.6415,49000,
15:13:58:996905016,1200000|1300000|1200000|1400000,21.7188,5.5332,5.0603,49000,
15:13:59:331500752,1200000|1200000|1200000|1200000,18.8982,2.9087,4.6397,50000,
15:13:59:666072095,2200000|2200000|1200000|1200000,23.3834,7.4468,4.6174,50000,
15:14:00:     2995,2200000|2200000|2200000|1200000,30.5158,14.5539,4.6508,50000,
15:14:00:333967344,2200000|2200000|1200000|1200000,28.4361,12.4522,4.6027,51000,
15:14:00:667880480,2200000|2200000|1200000|1200000,28.0959,12.1205,4.6205,50000,
15:14:01:  2425185,2200000|2200000|1200000|1200000,28.1669,12.1363,4.6229,50000,
15:14:01:336329745,2200000|2200000|1200000|1200000,28.4702,12.4868,4.6150,51000,
15:14:01:670269090,2200000|2200000|1200000|1200000,28.0348,12.0577,4.6356,50000,
15:14:02:  4173767,2200000|2200000|1200000|1700000,31.8163,15.7456,4.9814,50000,
15:14:02:338104652,2200000|2200000|1200000|1200000,28.4555,12.4271,4.6145,50000,
15:14:02:672029633,2200000|2200000|1200000|1200000,28.0361,12.0910,4.5857,51000,
15:14:03:  5942170,2200000|2200000|1200000|1200000,28.0652,12.0821,4.6319,51000,
15:14:03:339808219,2200000|2200000|1200000|1200000,28.4215,12.3989,4.6005,50000,
15:14:03:673721623,2200000|2200000|1200000|1200000,28.0174,12.0330,4.6231,50000,
15:14:04:  7594122,2200000|2200000|1900000|1300000,29.9798,13.9744,4.6033,52000,
15:14:04:341507407,2200000|2200000|1200000|1200000,28.5561,12.5571,4.6330,51000,
15:14:04:675433502,2200000|2200000|1200000|1200000,28.0052,12.0204,4.6366,50000,
15:14:05:  9340929,2200000|2200000|2000000|1200000,30.2048,14.1669,4.9558,50000,
15:14:05:343263255,2200000|2200000|1200000|1200000,28.4106,12.4200,4.6316,50000,
15:14:05:677160226,1200000|2200000|2200000|1200000,28.1148,12.1315,4.6373,52000,
15:14:06: 11714094,1200000|2200000|2200000|1200000,28.2102,12.1836,4.6232,51000,
15:14:06:345641856,1200000|2200000|2200000|1500000,30.6344,14.6262,4.7244,51000,
15:14:06:679530397,1200000|2200000|2200000|1200000,28.1519,12.1716,4.6402,51000,
15:14:07: 13434943,1200000|2200000|2200000|1200000,28.1412,12.1651,4.6033,52000,
15:14:07:347304762,1200000|2200000|2200000|1200000,28.5034,12.5179,4.6380,50000,
15:14:07:681215041,1200000|2200000|2200000|1200000,28.1003,12.1235,4.6347,51000,
15:14:08: 15093241,1200000|2200000|2200000|1200000,28.1750,12.1996,4.6190,52000,
15:14:08:348993490,1200000|2200000|1200000|2200000,30.5092,14.4037,5.0082,54000,
15:14:08:682884538,1800000|2200000|1900000|2200000,30.3394,14.3305,4.6533,53000,
15:14:09: 16792907,1200000|2200000|1200000|2200000,28.1306,12.1482,4.6312,54000,
15:14:09:350670325,1200000|2200000|1200000|2200000,28.5222,12.5387,4.6425,53000,
15:14:09:684558253,1200000|2200000|1200000|2200000,28.1388,12.1586,4.6361,53000,
15:14:10: 18432353,1200000|2200000|1200000|2200000,28.2278,12.2529,4.6327,53000,
15:14:10:352315607,1200000|2200000|1200000|2200000,28.6274,12.6454,4.6051,53000,
15:14:10:686234876,1200000|2200000|1200000|2200000,28.1572,12.1831,4.6525,53000,
15:14:11: 20993015,1700000|2200000|2100000|2200000,30.1389,14.1298,4.6322,53000,
15:14:11:354940462,1200000|2200000|1200000|2200000,28.3580,12.3698,4.5874,53000,
15:14:11:688820678,1900000|2200000|1200000|2200000,30.3879,14.3067,4.9813,53000,
15:14:12: 22737059,1200000|2200000|1200000|2200000,28.1333,12.1480,4.6287,54000,
15:14:12:356615026,1200000|2200000|1200000|2200000,28.5410,12.5541,4.6352,53000,
15:14:12:690501155,1200000|2200000|2200000|2200000,28.1260,12.1420,4.6094,54000,
15:14:13: 24378461,1200000|2200000|1200000|2200000,28.1343,12.1515,4.6028,53000,
15:14:13:358247900,1200000|2200000|1200000|2200000,28.5045,12.5155,4.6405,54000,
15:14:13:692150070,1200000|2200000|1200000|2200000,30.2927,14.2776,4.6840,53000,
15:14:14: 26051848,1200000|2200000|1200000|2200000,28.2158,12.2321,4.6453,53000,
15:14:14:359928470,1200000|2200000|1200000|2200000,29.4245,13.4340,4.6167,53000,
15:14:14:693819026,1200000|2200000|1200000|2200000,29.1756,13.1897,4.6231,54000,
15:14:15: 27694603,1600000|2200000|1200000|2200000,30.9012,14.7921,5.0077,53000,
15:14:15:361620127,1200000|2200000|1200000|2200000,29.4753,13.4829,4.5773,54000,
15:14:15:695499383,1200000|2200000|1200000|2200000,29.1523,13.1673,4.5950,54000,
15:14:16: 30187244,2200000|2200000|2000000|2200000,30.2839,14.2691,4.6662,54000,
15:14:16:364092088,1200000|2200000|1200000|2200000,30.0771,14.0650,4.6742,55000,
15:14:16:697998631,1200000|2200000|1200000|2200000,29.1881,13.2073,4.6063,54000,
15:14:17: 31874299,1200000|2200000|1200000|2200000,29.1556,13.1733,4.6053,54000,
15:14:17:365742384,1200000|2200000|1200000|2200000,29.3965,13.4103,4.6160,54000,
15:14:17:699626549,1200000|2200000|1200000|2200000,29.1549,13.1707,4.6240,53000,
15:14:18: 33527084,1200000|2200000|1200000|2200000,29.1883,13.2068,4.6043,53000,
15:14:18:367396326,1200000|2200000|2000000|2200000,30.0869,14.0500,4.7571,54000,
15:14:18:701371633,2200000|2200000|2200000|2200000,30.6468,14.5718,4.9129,54000,
15:14:19: 35256148,1200000|2200000|1900000|2200000,30.6163,14.6008,4.6852,54000,
15:14:19:369164521,1200000|2200000|1200000|2200000,29.4774,13.4774,4.5998,54000,
15:14:19:703050189,1200000|2200000|1200000|2200000,29.1822,13.1972,4.6239,55000,
15:14:20: 36951532,1200000|2200000|1200000|2200000,29.1895,13.2081,4.6346,55000,
15:14:20:370819078,1200000|2200000|1200000|2200000,29.3952,13.4089,4.6054,54000,
15:14:20:704704481,1200000|2200000|1200000|2200000,29.1682,13.1840,4.6234,55000,
15:14:21: 39264806,1200000|2200000|1200000|2200000,29.2091,13.2081,4.6097,54000,
15:14:21:373184526,1200000|2200000|1200000|2200000,29.4184,13.4331,4.5864,53000,
15:14:21:707070208,1200000|2200000|1200000|2200000,30.9279,14.9123,4.6539,53000,
15:14:22: 41055591,2100000|2200000|1200000|2200000,30.8151,14.6920,4.9473,55000,
15:14:22:374963285,1200000|2200000|1200000|2200000,29.6589,13.6391,4.6922,54000,
15:14:22:708962243,1200000|2200000|1200000|2200000,29.1630,13.1847,4.6411,53000,
15:14:23: 42838188,1200000|2200000|1200000|2200000,29.2571,13.2719,4.5913,55000,
15:14:23:376708973,1200000|2200000|1200000|2200000,29.5558,13.5641,4.6279,54000,
